수광점ID,학교,지번,종류,교사동/운동장,층,X,Y,Z,근거등급,근거,추정여부,추정항목
여의도고등학교 ①(4층) 1층-1,여의도고등학교,30-1,교사동 창면,여의도고등학교 ①(4층),1,194086.467,547342.37,1.2,B 일반식(전부 추정),일반식(도면 없음),추정,도면 미수령. 층고 3.5m·창중심 바닥+1.2m·남향계열 외벽 전체를 5m 등간격 으로 분할 — 층고·창높이·수평배치가 **전부 가정값**이다. 도면을 받으면 위치와 높이가 모두 바뀐다
여의도고등학교 ①(4층) 2층-1,여의도고등학교,30-1,교사동 창면,여의도고등학교 ①(4층),2,194086.467,547342.37,4.7,B 일반식(전부 추정),일반식(도면 없음),추정,도면 미수령. 층고 3.5m·창중심 바닥+1.2m·남향계열 외벽 전체를 5m 등간격 으로 분할 — 층고·창높이·수평배치가 **전부 가정값**이다. 도면을 받으면 위치와 높이가 모두 바뀐다
여의도고등학교 ①(4층) 3층-1,여의도고등학교,30-1,교사동 창면,여의도고등학교 ①(4층),3,194086.467,547342.37,8.2,B 일반식(전부 추정),일반식(도면 없음),추정,도면 미수령. 층고 3.5m·창중심 바닥+1.2m·남향계열 외벽 전체를 5m 등간격 으로 분할 — 층고·창높이·수평배치가 **전부 가정값**이다. 도면을 받으면 위치와 높이가 모두 바뀐다
여의도고등학교 ①(4층) 4층-1,여의도고등학교,30-1,교사동 창면,여의도고등학교 ①(4층),4,194086.467,547342.37,11.7,B 일반식(전부 추정),일반식(도면 없음),추정,도면 미수령. 층고 3.5m·창중심 바닥+1.2m·남향계열 외벽 전체를 5m 등간격 으로 분할 — 층고·창높이·수평배치가 **전부 가정값**이다. 도면을 받으면 위치와 높이가 모두 바뀐다
여의도고등학교 ①(4층) 1층-2,여의도고등학교,30-1,교사동 창면,여의도고등학교 ①(4층),1,194081.156,547332.827,1.2,B 일반식(전부 추정),일반식(도면 없음),추정,도면 미수령. 층고 3.5m·창중심 바닥+1.2m·남향계열 외벽 전체를 5m 등간격 으로 분할 — 층고·창높이·수평배치가 **전부 가정값**이다. 도면을 받으면 위치와 높이가 모두 바뀐다
여의도고등학교 ①(4층) 2층-2,여의도고등학교,30-1,교사동 창면,여의도고등학교 ①(4층),2,194081.156,547332.827,4.7,B 일반식(전부 추정),일반식(도면 없음),추정,도면 미수령. 층고 3.5m·창중심 바닥+1.2m·남향계열 외벽 전체를 5m 등간격 으로 분할 — 층고·창높이·수평배치가 **전부 가정값**이다. 도면을 받으면 위치와 높이가 모두 바뀐다
여의도고등학교 ①(4층) 3층-2,여의도고등학교,30-1,교사동 창면,여의도고등학교 ①(4층),3,194081.156,547332.827,8.2,B 일반식(전부 추정),일반식(도면 없음),추정,도면 미수령. 층고 3.5m·창중심 바닥+1.2m·남향계열 외벽 전체를 5m 등간격 으로 분할 — 층고·창높이·수평배치가 **전부 가정값**이다. 도면을 받으면 위치와 높이가 모두 바뀐다
여의도고등학교 ①(4층) 4층-2,여의도고등학교,30-1,교사동 창면,여의도고등학교 ①(4층),4,194081.156,547332.827,11.7,B 일반식(전부 추정),일반식(도면 없음),추정,도면 미수령. 층고 3.5m·창중심 바닥+1.2m·남향계열 외벽 전체를 5m 등간격 으로 분할 — 층고·창높이·수평배치가 **전부 가정값**이다. 도면을 받으면 위치와 높이가 모두 바뀐다
여의도고등학교 ①(4층) 1층-3,여의도고등학교,30-1,교사동 창면,여의도고등학교 ①(4층),1,194084.596,547328.357,1.2,B 일반식(전부 추정),일반식(도면 없음),추정,도면 미수령. 층고 3.5m·창중심 바닥+1.2m·남향계열 외벽 전체를 5m 등간격 으로 분할 — 층고·창높이·수평배치가 **전부 가정값**이다. 도면을 받으면 위치와 높이가 모두 바뀐다
여의도고등학교 ①(4층) 2층-3,여의도고등학교,30-1,교사동 창면,여의도고등학교 ①(4층),2,194084.596,547328.357,4.7,B 일반식(전부 추정),일반식(도면 없음),추정,도면 미수령. 층고 3.5m·창중심 바닥+1.2m·남향계열 외벽 전체를 5m 등간격 으로 분할 — 층고·창높이·수평배치가 **전부 가정값**이다. 도면을 받으면 위치와 높이가 모두 바뀐다
