학교,교사동,파사드,층,X,Y,Z,창면방위
여의도여자고등학교,본관동 저층부(4층),본관동 저층부(4층),3,194201.91,547016.17,9.4,141.9
여의도여자고등학교,본관동 저층부(4층),본관동 저층부(4층),4,194201.91,547016.17,13.1,141.9
여의도여자고등학교,본관동 저층부(4층),본관동 저층부(4층),3,194204.75,547018.39,9.4,141.9
여의도여자고등학교,본관동 저층부(4층),본관동 저층부(4층),4,194204.75,547018.39,13.1,141.9
여의도여자고등학교,본관동 저층부(4층),본관동 저층부(4층),2,194209.0,547021.72,5.7,141.9
여의도여자고등학교,본관동 저층부(4층),본관동 저층부(4층),3,194209.0,547021.72,9.4,141.9
여의도여자고등학교,본관동 저층부(4층),본관동 저층부(4층),4,194209.0,547021.72,13.1,141.9
여의도여자고등학교,본관동 저층부(4층),본관동 저층부(4층),2,194211.83,547023.94,5.7,141.9
여의도여자고등학교,본관동 저층부(4층),본관동 저층부(4층),3,194211.83,547023.94,9.4,141.9
여의도여자고등학교,본관동 저층부(4층),본관동 저층부(4층),4,194211.83,547023.94,13.1,141.9
여의도여자고등학교,본관동 저층부(4층),본관동 저층부(4층),2,194216.08,547027.27,5.7,141.9
여의도여자고등학교,본관동 저층부(4층),본관동 저층부(4층),3,194216.08,547027.27,9.4,141.9
여의도여자고등학교,본관동 저층부(4층),본관동 저층부(4층),4,194216.08,547027.27,13.1,141.9
여의도여자고등학교,본관동 저층부(4층),본관동 저층부(4층),2,194218.91,547029.5,5.7,141.9
여의도여자고등학교,본관동 저층부(4층),본관동 저층부(4층),3,194218.91,547029.5,9.4,141.9
여의도여자고등학교,본관동 저층부(4층),본관동 저층부(4층),4,194218.91,547029.5,13.1,141.9
여의도여자고등학교,본관동 고층부(5층),본관동 고층부(5층),1,194222.96,547033.32,2.0,141.9
여의도여자고등학교,본관동 고층부(5층),본관동 고층부(5층),2,194222.96,547033.32,5.7,141.9
여의도여자고등학교,본관동 고층부(5층),본관동 고층부(5층),3,194222.96,547033.32,9.4,141.9
여의도여자고등학교,본관동 고층부(5층),본관동 고층부(5층),4,194222.96,547033.32,13.1,141.9
여의도여자고등학교,본관동 고층부(5층),본관동 고층부(5층),5,194222.96,547033.32,16.8,141.9
여의도여자고등학교,본관동 고층부(5층),본관동 고층부(5층),1,194225.8,547035.54,2.0,141.9
여의도여자고등학교,본관동 고층부(5층),본관동 고층부(5층),2,194225.8,547035.54,5.7,141.9
여의도여자고등학교,본관동 고층부(5층),본관동 고층부(5층),3,194225.8,547035.54,9.4,141.9
여의도여자고등학교,본관동 고층부(5층),본관동 고층부(5층),4,194225.8,547035.54,13.1,141.9
여의도여자고등학교,본관동 고층부(5층),본관동 고층부(5층),5,194225.8,547035.54,16.8,141.9
여의도여자고등학교,본관동 고층부(5층),본관동 고층부(5층),1,194230.04,547038.88,2.0,141.8
여의도여자고등학교,본관동 고층부(5층),본관동 고층부(5층),2,194230.04,547038.88,5.7,141.8
여의도여자고등학교,본관동 고층부(5층),본관동 고층부(5층),3,194230.04,547038.88,9.4,141.8
여의도여자고등학교,본관동 고층부(5층),본관동 고층부(5층),4,194230.04,547038.88,13.1,141.8
여의도여자고등학교,본관동 고층부(5층),본관동 고층부(5층),5,194230.04,547038.88,16.8,141.8
여의도여자고등학교,본관동 고층부(5층),본관동 고층부(5층),1,194232.87,547041.1,2.0,141.8
여의도여자고등학교,본관동 고층부(5층),본관동 고층부(5층),2,194232.87,547041.1,5.7,141.8
여의도여자고등학교,본관동 고층부(5층),본관동 고층부(5층),3,194232.87,547041.1,9.4,141.8
여의도여자고등학교,본관동 고층부(5층),본관동 고층부(5층),4,194232.87,547041.1,13.1,141.8
여의도여자고등학교,본관동 고층부(5층),본관동 고층부(5층),5,194232.87,547041.1,16.8,141.8
여의도여자고등학교,본관동 고층부(5층),본관동 고층부(5층),1,194237.12,547044.44,2.0,141.8
여의도여자고등학교,본관동 고층부(5층),본관동 고층부(5층),2,194237.12,547044.44,5.7,141.8
여의도여자고등학교,본관동 고층부(5층),본관동 고층부(5층),3,194237.12,547044.44,9.4,141.8
